,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000
0,1000,Lausanne,,,,,,
1,1003,Lausanne,,,,1.0,0.00012093360744951022,0.12093360744951022
2,1004,Lausanne,,,,1.0,3.448751551938198e-05,0.03448751551938198
3,1005,Lausanne,,,,2.0,0.00017174753112924002,0.17174753112924002
4,1006,"Lausanne, Pully",,,,,,
5,1007,Lausanne,,,,,,
6,1008,"Jouxtens-Mézery, Prilly, Renens (VD)",,,,,,
7,1009,Pully,,,,,,
8,1010,Lausanne,,,,,,
9,1011,Lausanne,,,,,,
10,1012,Lausanne,,,,,,
11,1018,Lausanne,,,,,,
12,1020,Renens (VD),,,,,,
13,1022,Chavannes-près-Renens,,,,,,
14,1023,"Crissier, Lausanne",,,,1.0,0.00013180440226703572,0.13180440226703571
15,1024,"Ecublens (VD), Saint-Sulpice (VD)",,,,1.0,8.220979940808945e-05,0.08220979940808945
16,1025,Saint-Sulpice (VD),,,,,,
17,1026,"Denges, Echandens",,,,1.0,0.0002477700693756194,0.2477700693756194
18,1027,"Echandens, Lonay",,,,,,
19,1028,Préverenges,,,,,,
20,1029,Villars-Sainte-Croix,,,,,,
21,1030,Bussigny,,,,,,
22,1031,Mex (VD),,,,,,
23,1032,"Lausanne, Romanel-sur-Lausanne",,,,,,
24,1033,"Cheseaux-sur-Lausanne, Crissier, Lausanne",,,,,,
25,1034,Boussens,,,,,,
26,1035,Bournens,,,,,,
27,1036,Sullens,,,,,,
28,1037,Etagnières,,,,,,
29,1038,"Bercher, Boulens, Montanaire",,,,,,
30,1040,"Echallens, Saint-Barthélemy (VD), Villars-le-Terroir",,,,1.0,0.00013833171946327292,0.1383317194632729
31,1041,"Bottens, Poliez-Pittet, Montilliez, Jorat-Menthue",,,,,,
32,1042,"Bettens, Assens, Bioley-Orjulaz",,,,,,
33,1043,Montilliez,,,,,,
34,1044,Fey,,,,,,
35,1045,"Ogens, Bioley-Magnoux",,,,,,
36,1046,Rueyres,,,,,,
37,1047,"Rueyres, Oppens",,,,,,
38,1052,"Lausanne, Le Mont-sur-Lausanne",,,,1.0,0.00014369880729989942,0.14369880729989942
39,1053,"Bretigny-sur-Morrens, Cugy (VD), Lausanne",,,,,,
40,1054,Morrens (VD),,,,,,
41,1055,Froideville,,,,,,
42,1058,Jorat-Menthue,,,,,,
43,1059,"Hermenches, Jorat-Menthue",,,,,,
44,1061,Jorat-Menthue,,,,,,
45,1062,Jorat-Menthue,,,,,,
46,1063,"Boulens, Montanaire, Jorat-Menthue",,,,,,
47,1066,"Epalinges, Lausanne",2.0,0.0002218524681087077,0.2218524681087077,,,
48,1068,Pully,,,,,,
49,1070,"Puidoux, Bourg-en-Lavaux, Chardonne",,,,,,
50,1071,"Chexbres, Puidoux, Rivaz, Saint-Saphorin (Lavaux), Chardonne",,,,,,
51,1072,Forel (Lavaux),,,,,,
52,1073,"Forel (Lavaux), Savigny",,,,,,
53,1076,Ferlens (VD),,,,,,
54,1077,Servion,,,,,,
55,1078,Essertes,,,,,,
56,1080,"Forel (Lavaux), Servion",,,,,,
57,1081,Montpreveyres,,,,,,
58,1082,Corcelles-le-Jorat,,,,,,
59,1083,"Carrouge (VD), Mézières (VD)",,,,,,
60,1084,"Carrouge (VD), Vulliens",,,,,,
61,1085,Vulliens,,,,,,
62,1088,Ropraz,,,,,,
63,1090,"Lutry, Savigny",,,,,,
64,1091,"Forel (Lavaux), Savigny, Bourg-en-Lavaux",,,,,,
65,1092,"Belmont-sur-Lausanne, Lutry",,,,,,
66,1093,Lutry,,,,,,
67,1094,Paudex,,,,,,
68,1095,"Lutry, Bourg-en-Lavaux",,,,1.0,0.00017155601303825698,0.171556013038257
69,1096,"Puidoux, Bourg-en-Lavaux",,,,,,
70,1097,Bourg-en-Lavaux,,,,,,
71,1098,"Puidoux, Bourg-en-Lavaux",,,,,,
72,1110,Morges,1.0,6.466214031684449e-05,0.06466214031684449,3.0,0.00019398642095053346,0.19398642095053345
73,1112,Echichens,,,,,,
74,1113,Echichens,,,,,,
75,1114,Echichens,,,,,,
76,1115,Vullierens,,,,,,
77,1116,Cottens (VD),,,,,,
78,1117,Grancy,,,,,,
79,1121,Bremblens,,,,,,
80,1122,Romanel-sur-Morges,,,,,,
81,1123,Aclens,,,,,,
82,1124,Gollion,,,,,,
83,1125,Echichens,,,,,,
84,1126,Vaux-sur-Morges,,,,,,
85,1127,Clarmont,,,,,,
86,1128,"Apples, Reverolle",,,,,,
87,1131,Tolochenaz,,,,,,
88,1132,Lully (VD),,,,,,
89,1134,"Chigny, Vufflens-le-Château",,,,1.0,0.000864304235090752,0.8643042350907519
90,1135,Denens,,,,,,
91,1136,Bussy-Chardonney,,,,,,
92,1141,Sévery,,,,,,
93,1142,Pampigny,,,,,,
94,1143,"Apples, Sévery",,,,,,
95,1144,Ballens,,,,,,
96,1145,"Bière, Saint-Livres",,,,,,
97,1146,Mollens (VD),,,,,,
98,1147,Montricher,,,,,,
99,1148,"La Chaux (Cossonay), Chavannes-le-Veyron, Cuarnens, L'Isle, Mauraz, Moiry, Mont-la-Ville, La Praz",,,,,,
100,1149,"Berolle, Bière",,,,,,
101,1162,Saint-Prex,,,,,,
102,1163,Etoy,,,,,,
