"Kinoinfrastruktur nach Gemeinde und Kinotyp"

"Gemeinde";"Jahr";"Kinotyp - Total Kinos";"Kinotyp - Total Säle";"Kinotyp - Total Sitzplätze"
"- Bern / Berne";"1966";102;102;34577
"- Bern / Berne";"1967";100;100;33773
"- Bern / Berne";"1969";97;97;33023
"- Bern / Berne";"1970";97;97;32315
"- Bern / Berne";"1972";93;93;31195
"- Bern / Berne";"1973";89;89;30271
"- Bern / Berne";"1974";87;87;29502
"- Bern / Berne";"1975";86;86;28940
"- Bern / Berne";"1976";85;85;28235
"- Bern / Berne";"1977";83;83;27763
"- Bern / Berne";"1978";83;83;27106
"- Bern / Berne";"1979";77;79;23159
"- Bern / Berne";"1980";75;77;22186
"- Bern / Berne";"1982";73;76;21522
"- Bern / Berne";"1983";68;71;20000
"- Bern / Berne";"1984";67;70;19497
"- Bern / Berne";"1985";65;68;18644
"- Bern / Berne";"1986";60;64;16218
"- Bern / Berne";"1987";59;66;16690
"- Bern / Berne";"1988";58;66;15924
"- Bern / Berne";"1989";55;63;14881
"- Bern / Berne";"1990";53;62;14206
"- Bern / Berne";"1991";53;62;14158
"- Bern / Berne";"1992";51;60;13753
"- Bern / Berne";"1993";51;60;13748
"- Bern / Berne";"1994";56;65;14627
"- Bern / Berne";"1995";55;64;14372
"- Bern / Berne";"1996";54;63;14157
"- Bern / Berne";"1997";55;66;14477
"- Bern / Berne";"1998";55;66;14477
"- Bern / Berne";"1999";54;65;14081
"- Bern / Berne";"2000";54;65;13817
"- Bern / Berne";"2001";55;66;13879
"- Bern / Berne";"2002";55;66;13815
"- Bern / Berne";"2003";55;66;13666
"- Bern / Berne";"2004";58;69;14013
"- Bern / Berne";"2005";58;69;13746
"- Bern / Berne";"2006";57;69;13746
"- Bern / Berne";"2007";56;68;13646
"- Bern / Berne";"2008";58;81;16270
"- Bern / Berne";"2009";58;81;16220
"- Bern / Berne";"2010";58;81;16212
"- Bern / Berne";"2011";57;80;15905
"- Bern / Berne";"2012";55;78;15538
"- Bern / Berne";"2013";53;76;14958
"- Bern / Berne";"2014";55;83;15862
"- Bern / Berne";"2015";54;87;15883
"......Aarberg";"1966";1;1;190
"......Aarberg";"1967";1;1;190
"......Aarberg";"1969";1;1;190
"......Aarberg";"1970";1;1;190
"......Aarberg";"1972";1;1;190
"......Aarberg";"1973";1;1;190
"......Aarberg";"1974";1;1;190
"......Aarberg";"1975";1;1;164
"......Aarberg";"1976";1;1;164
"......Aarberg";"1977";1;1;164
"......Aarberg";"1978";1;1;164
"......Aarberg";"1979";1;1;164
"......Aarberg";"1980";1;1;164
"......Aarberg";"1982";1;1;164
"......Aarberg";"1983";1;1;164
"......Aarberg";"1984";1;1;164
"......Aarberg";"1985";1;1;164
"......Aarberg";"1986";1;1;164
"......Aarberg";"1987";1;1;164
"......Aarberg";"1988";1;1;164
"......Aarberg";"1989";1;1;164
"......Aarberg";"1990";1;1;164
"......Aarberg";"1991";1;1;164
"......Aarberg";"1992";1;1;164
"......Aarberg";"1993";1;1;164
"......Aarberg";"1994";1;1;164
"......Aarberg";"1995";1;1;164
"......Aarberg";"1996";1;1;164
"......Aarberg";"1997";1;1;164
"......Aarberg";"1998";1;1;164
"......Aarberg";"1999";1;1;164
"......Aarberg";"2000";1;1;164
"......Aarberg";"2001";1;1;164
"......Aarberg";"2002";1;1;164
"......Aarberg";"2003";1;1;164
"......Aarberg";"2004";1;1;164
"......Aarberg";"2005";1;1;164
"......Aarberg";"2006";1;1;164
"......Aarberg";"2007";1;1;164
"......Aarberg";"2008";1;1;164
"......Aarberg";"2009";1;1;164
"......Aarberg";"2010";1;1;164
"......Aarberg";"2011";1;1;164
"......Aarberg";"2012";1;1;164
