"Hotellerie: Ankünfte und Logiernächte der geöffneten Betriebe nach Jahr, Monat, Kanton und Gästeherkunftsland"
"Jahr";"Monat";"Kanton";"Schweiz Logiernächte";"Baltische Staaten Logiernächte";"Deutschland Logiernächte";"Frankreich Logiernächte";"Italien Logiernächte";"Österreich Logiernächte";"Vereinigtes Königreich Logiernächte";"Irland (Eire) Logiernächte";"Niederlande Logiernächte";"Belgien Logiernächte";"Luxemburg Logiernächte";"Dänemark Logiernächte";"Schweden Logiernächte";"Norwegen Logiernächte";"Finnland Logiernächte";"Spanien Logiernächte";"Portugal Logiernächte";"Griechenland Logiernächte";"Türkei Logiernächte";"Übriges Europa Logiernächte";"Liechtenstein Logiernächte";"Island Logiernächte";"Polen Logiernächte";"Ungarn Logiernächte";"Belarus (Weissrussland) Logiernächte";"Bulgarien Logiernächte";"Malta Logiernächte";"Zypern Logiernächte";"Chile Logiernächte";"Vereinigte Staaten / USA Logiernächte";"Kanada Logiernächte";"Mexiko Logiernächte";"Brasilien Logiernächte";"Argentinien Logiernächte";"Zentralamerika, Karibik Logiernächte";"Übriges Südamerika Logiernächte";"Übriges Zentralamerika, Karibik Logiernächte";"Aegypten Logiernächte";"Übriges Nordafrika Logiernächte";"Südafrika, Republik Logiernächte";"Übriges Afrika Logiernächte";"Bahrain Logiernächte";"Israel Logiernächte";"Indien Logiernächte";"Japan Logiernächte";"Übriges Süd- und Ostasien Logiernächte";"Katar Logiernächte";"Kuwait Logiernächte";"Australien Logiernächte";"Australien, Neuseeland, Ozeanien Logiernächte";"China (ohne Hongkong) Logiernächte";"Golf-Staaten Logiernächte";"Hongkong Logiernächte";"Indonesien Logiernächte";"Korea, Republik Logiernächte";"Malaysia Logiernächte";"Philippinen Logiernächte";"Neuseeland, Ozeanien Logiernächte";"Singapur Logiernächte";"Oman Logiernächte";"China (Taiwan) Logiernächte";"Thailand Logiernächte";"Übriges Westasien Logiernächte";"Estland Logiernächte";"Lettland Logiernächte";"Litauen Logiernächte";"Saudi Arabien Logiernächte";"Vereinigte Arabische Emirate Logiernächte";"Serbien und Montenegro Logiernächte";"Kroatien Logiernächte";"Rumänien Logiernächte";"Russland Logiernächte";"Slovakei Logiernächte";"Slowenien Logiernächte";"Tschechische Republik Logiernächte";"Ukraine Logiernächte";"Serbien Logiernächte"
"2010";"Januar";"Bern / Berne";193693;...;63916;9974;7049;3089;31314;741;14328;7369;2994;694;1293;587;696;3233;749;1880;575;1550;156;83;1823;240;107;359;31;191;35;5990;765;...;1160;99;327;239;...;103;95;1463;325;...;778;636;3562;568;...;...;2068;...;1410;832;218;133;3332;172;63;856;382;...;244;202;355;680;68;17;...;...;...;298;591;10203;324;246;538;653;134
"2010";"Februar";"Bern / Berne";224874;...;61483;23066;5079;2843;49384;605;38033;15223;6669;1678;1792;2012;1087;2573;512;596;757;925;97;116;1482;240;149;629;82;66;27;5664;720;...;832;64;233;214;...;82;256;257;420;...;805;675;3417;403;...;...;653;...;2632;1206;528;24;2621;110;52;169;624;...;432;431;265;352;21;40;...;...;...;54;434;3278;352;127;749;386;78
"2010";"März";"Bern / Berne";191835;...;66942;13249;4174;4518;30900;618;16661;9436;2207;923;2105;964;1192;2993;780;591;255;1172;117;43;2369;386;485;146;376;6;60;7282;903;...;617;134;334;182;...;68;245;506;343;...;1177;1889;4870;866;...;...;791;...;2400;1036;647;402;3893;267;40;189;958;...;611;1537;286;57;60;22;...;...;...;97;218;3126;355;134;974;204;104
"2010";"April";"Bern / Berne";133085;...;40009;9056;4038;2060;17097;420;5899;10845;1075;540;493;242;469;2996;622;481;105;1195;104;22;379;320;36;68;12;14;76;5786;1014;...;1178;132;339;280;...;103;235;474;860;...;726;4824;4233;656;...;...;1683;...;3743;1864;632;165;4895;264;408;289;450;...;1311;3895;213;30;28;18;...;...;...;47;121;2148;255;180;598;153;108
"2010";"Mai";"Bern / Berne";160063;...;43240;7212;3632;3306;18584;477;9257;2138;798;866;1050;535;599;2153;398;332;263;1776;128;53;808;479;503;132;14;5;53;13915;1715;...;1257;204;259;131;...;42;231;1142;686;...;1163;17296;11097;1194;...;...;2485;...;6498;2203;766;301;7591;353;63;368;1285;...;1441;2165;214;19;26;132;...;...;...;121;242;2204;342;139;1024;231;69
"2010";"Juni";"Bern / Berne";204195;...;59466;7734;4346;3725;46233;663;12926;12502;936;1587;1076;628;775;3725;509;380;335;1971;152;117;659;932;34;260;3;92;173;25538;2464;...;917;202;587;306;...;81;270;691;872;...;1940;14135;29389;1148;...;...;3213;...;6567;5124;1201;305;6825;461;95;901;2193;...;1724;1108;339;17;99;244;...;...;...;215;887;2423;284;322;1382;357;122
"2010";"Juli";"Bern / Berne";249876;...;73989;15236;7507;5108;46563;1187;24193;19266;2592;2028;1606;1855;1771;8906;814;699;498;2869;243;107;759;950;89;724;257;109;308;31303;2843;...;1314;192;816;378;...;254;354;428;501;...;3795;8359;47225;2200;...;...;3595;...;7564;26696;1398;140;8761;273;66;576;1105;...;1693;1232;1485;730;72;704;...;...;...;197;744;3397;309;249;1970;497;105
"2010";"August";"Bern / Berne";241820;...;90128;22729;16782;6378;49453;804;23859;18349;2487;1105;1356;912;2194;16546;1118;825;324;2918;376;224;1056;1559;159;366;204;58;113;26532;2514;...;843;328;453;329;...;90;336;823;656;...;4872;6389;31338;1326;...;...;2783;...;7383;6994;1301;195;8462;474;97;495;636;...;1731;914;829;305;127;455;...;...;...;242;1137;4023;455;257;2900;592;34
"2010";"September";"Bern / Berne";228728;...;72040;8456;5418;4997;37096;627;10783;9205;1056;1139;907;938;1013;4725;433;213;324;2230;163;123;756;519;74;229;21;4;90;26681;3317;...;1494;304;542;423;...;182;102;788;261;...;2850;6103;17341;1357;...;...;4105;...;7298;6972;862;868;5872;629;82;570;1656;...;2216;1167;289;50;47;120;...;...;...;266;434;2808;170;243;1545;254;107
"2010";"Oktober";"Bern / Berne";194992;...;42990;5986;4479;2941;10006;226;4783;1338;400;668;587;632;536;2274;355;208;258;1205;254;56;350;474;31;150;52;22;63;10152;1344;...;1384;192;361;243;...;80;104;415;412;...;1000;5576;8471;1404;...;...;2451;...;7486;2618;719;247;6918;347;48;446;2183;...;1478;3376;142;84;39;19;...;...;...;419;240;1805;136;244;538;290;57
"2010";"November";"Bern / Berne";114532;...;22161;3813;3426;2309;3585;207;1801;1110;243;338;617;289;277;1177;299;235;514;832;100;29;642;162;6;121;20;15;20;3276;653;...;650;86;258;174;...;98;138;148;658;...;463;2090;3950;631;...;...;738;...;4344;1943;595;140;4188;482;23;332;2447;...;799;963;175;26;13;34;...;...;...;114;233;1566;129;128;355;136;98
"2010";"Dezember";"Bern / Berne";141928;...;42021;12108;7167;1500;20881;568;14179;4094;3260;353;544;159;318;2873;549;1375;152;1297;78;25;457;414;898;187;251;29;28;6621;459;...;793;28;250;372;...;121;123;1502;1266;...;791;1600;3676;722;...;...;2399;...;3315;1191;909;388;3086;373;38;280;4916;...;1078;1564;99;6;16;60;...;...;...;81;426;2353;76;102;378;177;72
"2011";"Januar";"Bern / Berne";202426;...;65464;11796;7940;3018;28888;575;13786;10346;3271;616;1415;675;953;3242;393;1420;575;1133;185;67;1066;346;551;264;160;90;31;4997;995;101;1399;149;...;419;200;71;134;1516;118;29;878;559;3214;1109;35;33;2581;...;1728;...;249;80;4363;86;27;298;577;55;422;591;289;157;77;72;221;320;...;770;443;9119;210;346;774;832;123
"2011";"Februar";"Bern / Berne";202791;...;43740;20872;3983;2855;42309;978;28901;6593;5730;2019;2204;940;974;2319;441;994;939;1238;240;69;1964;257;162;544;226;47;18;5978;1766;161;577;126;...;227;160;24;248;277;238;54;990;875;4078;763;34;102;721;...;4113;...;856;403;3207;186;32;101;1173;147;491;610;368;784;81;95;319;439;...;167;597;3940;566;175;980;286;72
"2011";"März";"Bern / Berne";192019;...;71893;14923;4946;3067;24217;849;19867;17033;1403;1333;3173;488;606;2097;525;462;301;1352;358;66;2224;160;68;291;33;29;145;6202;1070;187;1206;86;...;210;190;44;209;1152;344;120;2503;2317;4373;910;94;25;782;...;4657;...;757;450;4232;418;90;166;1434;122;1106;1478;280;51;161;20;517;579;...;316;296;3200;185;140;1358;226;160
"2011";"April";"Bern / Berne";140187;...;34285;7216;4259;2604;12316;220;3314;3676;740;596;686;310;353;3185;511;160;270;864;278;26;476;211;99;158;32;91;55;5856;1281;188;1604;210;...;191;100;55;158;777;473;50;1011;7550;4900;816;35;119;1718;...;8727;...;1251;147;7776;456;82;191;1730;24;1045;5755;273;16;11;34;1141;576;...;189;221;1444;243;307;760;330;122
"2011";"Mai";"Bern / Berne";152002;...;39238;6394;3752;3029;13993;324;6955;1748;626;1042;970;439;545;2064;417;284;364;1231;390;84;542;541;85;425;18;28;142;13551;2421;191;2343;389;...;301;166;163;212;467;763;63;888;23658;10655;1820;113;242;3023;...;10165;...;1405;384;11024;664;125;419;2259;42;2224;3859;355;27;37;59;1534;651;...;145;274;2618;407;190;1054;653;109
"2011";"Juni";"Bern / Berne";224393;...;62407;8348;5047;4453;38014;503;12109;8724;1488;968;1199;557;798;3748;605;241;193;1760;221;71;720;645;665;235;28;64;144;24968;2635;299;1252;312;...;373;199;66;250;1192;281;133;1926;19462;24954;1423;224;616;4079;...;12450;...;1867;399;8875;473;46;1503;3335;205;3407;1480;102;80;73;433;3740;1533;...;129;291;3379;350;404;1171;205;98
"2011";"Juli";"Bern / Berne";247670;...;66375;14586;6816;4879;43391;692;20000;19160;1370;2339;2473;1736;1211;7383;797;461;356;1931;243;69;1405;865;205;237;96;47;148;31788;3829;680;2340;321;...;372;253;195;655;1420;483;602;3010;9458;41132;3267;1158;2559;4678;...;14657;...;2075;332;12957;439;215;819;1390;645;4020;1268;3859;314;226;406;14557;6250;...;155;513;3525;497;231;2107;683;187
"2011";"August";"Bern / Berne";251626;...;80310;18337;12287;5447;43002;484;18190;17948;1961;1053;1368;845;628;12865;1475;626;433;2394;297;302;1219;646;59;354;439;120;65;22343;2591;314;1155;385;...;427;250;96;120;570;606;93;3964;6746;28328;1741;199;231;2705;...;14790;...;2416;650;11707;428;73;736;1282;78;2524;946;398;191;339;638;1220;1301;...;185;1075;4478;315;280;2535;473;75
"2011";"September";"Bern / Berne";252146;...;62092;8416;4041;4437;31134;781;8656;9622;1293;1301;858;786;701;3822;501;405;511;1985;191;73;786;341;94;272;102;44;120;23947;3012;273;1886;390;...;353;283;125;305;890;288;160;2296;5314;15698;1362;446;1052;4675;...;11067;...;1241;711;7344;511;61;559;1880;191;2541;1012;721;71;39;136;5192;2302;...;194;429;1971;295;158;1573;227;83
"2011";"Oktober";"Bern / Berne";204129;...;37788;5881;3593;3198;7432;156;3917;1264;350;744;622;366;500;1961;377;150;291;1128;383;75;944;343;71;218;25;58;65;9296;1299;183;1464;228;...;342;426;78;488;799;1097;23;1098;5141;8842;2085;90;236;2378;...;12943;...;1288;236;8031;457;165;266;2149;94;2280;3377;349;24;19;88;1569;604;...;129;333;1781;189;195;762;453;57
"2011";"November";"Bern / Berne";118849;...;20816;3879;2692;2161;2661;120;1707;887;182;248;562;258;321;1164;216;131;233;813;142;14;455;234;34;239;4;12;105;3462;565;113;673;78;...;112;108;126;248;556;610;40;354;1970;3940;1093;141;134;709;...;7185;...;615;385;5685;368;45;104;1785;63;633;592;90;27;9;26;1209;777;...;93;153;1285;208;57;527;276;53
"2011";"Dezember";"Bern / Berne";135898;...;30942;10642;5510;1838;15899;447;8455;3379;2053;747;454;145;305;3130;304;657;365;868;96;141;407;121;40;249;43;44;51;6210;552;160;1032;46;...;177;131;197;77;1090;1255;23;374;1608;3681;636;143;99;2191;...;6462;...;718;456;4232;469;89;278;5317;77;754;1479;83;201;9;17;317;929;...;78;254;2747;180;46;234;184;45
"2012";"Januar";"Bern / Berne";196499;...;47032;9881;7052;2787;23506;460;12861;7373;1818;864;925;447;443;2380;356;549;1024;837;161;73;601;178;245;297;5;38;30;4770;1136;182;1544;187;...;215;147;83;145;1452;200;49;1260;962;4192;830;37;50;2722;...;7842;...;1028;97;6067;430;64;208;967;166;921;803;277;82;30;27;220;468;...;673;309;8391;347;155;533;606;109
"2012";"Februar";"Bern / Berne";227346;...;48582;20542;4391;2482;31044;752;22853;11624;3998;1288;1719;1223;515;2376;380;509;695;1180;111;39;994;207;125;496;8;53;60;7121;1202;156;1507;444;...;222;209;117;337;580;1013;5;574;1022;4132;569;64;79;908;...;3720;...;367;135;5576;165;65;115;530;169;542;699;218;81;15;140;327;626;...;338;356;2912;336;96;664;375;135
"2012";"März";"Bern / Berne";191556;...;44229;16386;3345;2926;22728;419;11042;4928;1909;904;1979;1462;670;1875;485;283;286;1264;157;21;1446;269;78;290;54;17;75;6695;1150;225;881;161;...;184;171;62;378;1158;409;35;565;2508;5912;990;75;86;1225;...;6731;...;1133;241;6568;340;106;134;1470;46;646;1667;197;396;82;40;1361;887;...;297;274;3322;296;138;1070;376;104
"2012";"April";"Bern / Berne";129891;...;31861;7144;4575;2349;12841;378;3815;5136;682;1032;928;909;559;2923;630;202;235;1110;114;60;442;181;72;196;48;23;27;6887;858;255;1515;232;...;163;136;67;359;873;207;38;591;6498;5224;842;79;181;2157;...;9406;...;975;425;8824;312;93;207;1629;69;1084;5745;168;21;102;53;1748;816;...;117;255;2667;283;157;807;297;108
"2012";"Mai";"Bern / Berne";156431;...;35026;6909;3535;3107;12921;368;6519;1826;658;588;1155;503;445;2132;312;299;245;1377;195;40;742;392;169;352;103;27;88;16364;2305;244;1878;250;...;242;255;77;276;828;160;48;839;24977;11488;1418;218;371;3672;...;13245;...;1467;944;9641;702;321;242;2461;80;2205;3977;201;638;38;169;3282;1249;...;183;353;3190;307;113;1279;331;162
"2012";"Juni";"Bern / Berne";202664;...;47285;6790;4468;4155;33408;419;8546;2690;904;666;1498;778;909;2842;672;190;225;1750;165;85;827;845;74;393;53;25;110;26068;2504;366;1789;338;...;313;252;128;457;770;297;32;2137;16684;27312;1392;536;1616;4253;...;14701;...;2330;566;9396;545;69;914;3114;331;3095;2115;499;66;226;71;12070;3081;...;124;502;3276;261;235;1815;250;320
"2012";"Juli";"Bern / Berne";226532;...;53850;12276;5826;5172;31245;634;15671;5206;982;1502;1907;1693;819;5516;637;370;396;2088;281;90;1012;914;125;313;26;20;64;38717;3536;650;2177;327;...;309;393;139;596;940;441;199;4368;8497;47707;1818;1156;2846;4232;...;22440;...;2439;281;13048;314;138;734;1323;616;3821;1127;708;360;267;164;14439;5264;...;223;604;4405;370;162;1974;567;56
"2012";"August";"Bern / Berne";241471;...;69239;18204;12129;5991;34227;595;13720;5912;1953;947;1127;737;689;11482;891;527;395;2268;247;60;1079;769;142;298;78;109;90;31297;2473;225;1210;496;...;436;316;132;415;590;631;241;7159;6561;30732;1460;1696;2369;2999;...;24970;...;2264;973;9852;429;108;490;1144;460;3528;1505;613;273;214;179;9101;4880;...;197;1035;4092;352;320;2228;718;109
"2012";"September";"Bern / Berne";221268;...;57986;8329;4365;4422;26501;356;7511;2970;1091;688;1479;641;346;3008;355;229;315;5827;151;104;818;491;379;435;53;18;194;28460;3320;292;1869;289;...;352;151;94;541;551;409;114;2832;4467;16394;940;591;1358;5493;...;17055;...;1997;624;7327;507;79;570;2453;194;2841;1244;443;34;71;102;5034;2654;...;127;600;3245;311;328;1033;471;76
"2012";"Oktober";"Bern / Berne";183444;...;37728;6139;3704;2511;8560;208;4619;1291;415;640;654;1164;468;1962;306;123;363;1000;173;16;601;381;37;105;16;11;34;11241;1643;243;1852;362;...;405;260;106;449;510;311;69;1231;4157;9337;1251;527;538;2542;...;21336;...;1473;297;9894;434;128;354;2220;115;3159;4179;262;27;50;31;3538;1474;...;131;376;2107;298;131;630;376;67
"2012";"November";"Bern / Berne";120993;...;21704;5382;3300;2168;3765;124;1256;811;237;366;426;201;197;1155;252;119;142;881;198;15;495;264;14;81;16;2;51;3878;551;102;780;491;...;139;47;48;171;157;158;118;247;1881;3853;620;63;147;790;...;8747;...;596;343;6588;905;54;113;2454;27;610;969;171;9;64;29;737;398;...;102;409;1571;241;127;663;219;88
"2012";"Dezember";"Bern / Berne";147463;...;35748;10819;5872;1616;16624;532;10375;5004;1705;511;758;379;406;2694;305;1107;358;962;113;45;522;159;84;91;14;111;73;7022;649;337;1511;124;...;325;167;158;79;2048;248;10;299;1422;3366;513;153;58;3183;...;7493;...;702;480;5025;991;57;231;6295;236;357;2137;244;67;8;21;458;712;...;84;307;3386;296;56;459;414;74
