diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"01.12.2006";"Bern";"Schwarzenburg";"Albligen";"Zu bekämpfende Seuchen";"Schafräude (2009 aus TSV gestrichen)";"Schaf";"";0;0
"12.12.2006";"Bern";"Burgdorf";"Kernenried";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.12.2006";"Bern";"Trachselwald";"Rüegsau";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"13.12.2006";"Bern";"Courtelary";"Courtelary";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"07.12.2006";"Bern";"Trachselwald";"Sumiswald";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"13.12.2006";"Bern";"Burgdorf";"Hindelbank";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"15.12.2006";"Bern";"Burgdorf";"Wynigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"18.12.2006";"Bern";"Konolfingen";"Bowil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"18.12.2006";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"15.03.2007";"Bern";"Thun (bis 2010)";"Eriz";"Zu überwachende Seuchen";"Maedi-Visna";"Schaf";"";1;0
"15.03.2007";"Bern";"Bern";"Vechigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.03.2007";"Bern";"Frutigen";"Frutigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"14.03.2007";"Bern";"Trachselwald";"Huttwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"21.03.2007";"Bern";"Courtelary";"Corgémont";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"27.03.2007";"Bern";"Burgdorf";"Heimiswil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"21.03.2007";"Bern";"Fraubrunnen";"Utzenstorf";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"24.03.2007";"Bern";"Interlaken";"Brienz (BE)";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"27.03.2007";"Bern";"Konolfingen";"Biglen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Schwarzenburg";"Guggisberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Bern";"Köniz";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"16.03.2007";"Bern";"Frutigen";"Aeschi bei Spiez";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.03.2007";"Bern";"Seftigen";"Wattenwil";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"19.03.2007";"Bern";"Trachselwald";"Sumiswald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"22.03.2007";"Bern";"Moutier";"Tavannes";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"26.03.2007";"Bern";"Aarberg";"Rapperswil (BE)";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"21.03.2007";"Bern";"Burgdorf";"Wynigen";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
