code,agency,is_mayoral
002,OFFICE OF THE MAYOR,N
003,BOARD OF ELECTIONS,Y
004,CAMPAIGN FINANCE BOARD,Y
005,BOARD OF ESTIMATE-SECRETARY,Y
006,MAYOR'S OFFICE OF OPERATIONS,N
007,BOARD OF ESTIMATE FRANCHISES,Y
008,OFFICE OF THE ACTUARY,N
009,NYC EMPLOYEES' RETIREMENT SYSTEM,Y
010,BOROUGH PRESIDENT-MANHATTAN,Y
011,BOROUGH PRESIDENT-BRONX,Y
012,BOROUGH PRESIDENT-BROOKLYN,Y
013,BOROUGH PRESIDENT-QUEENS,Y
014,BOROUGH PRESIDENT-RICHMOND,Y
015,OFFICE OF THE COMPTROLLER,Y
017,OFFICE OF EMERGENCY MANAGEMENT,N
019,OFFICE OF MANAGEMENT AND BUDGET,N
021,TAX COMMISSION,N
025,LAW DEPARTMENT,N
029,GAMBLING CONTROL COMMISSION,N
030,DEPARTMENT OF CITY PLANNING,N
031,DEPARTMENT OF PERSONNEL,N
032,DEPARTMENT OF INVESTIGATION,N
040,DEPARTMENT OF EDUCATION,N
041,TEACHERS' RETIREMENT SYSTEM,Y
052,DEPARTMENT OF EMERGENCY MANAGEMENT- AGY CD NOT USED 4-5-02,N
054,CIVILIAN COMPLAINT REVIEW BOARD,N
056,POLICE DEPARTMENT,N
057,FIRE DEPARTMENT,N
059,STANDARD AND APPEALS,N
062,OFFICE OF THE SHERIFF,N
067,ADMINISTRATION FOR CHILDREN'S SERVICES,N
068,NYC HEALTH AND HOSPITALS CORPORATION,Y
069,HRA/DEPARTMENT OF SOCIAL SERVICES,N
071,DEPARTMENT OF HOMELESS SERVICES,N
072,DEPARTMENT OF CORRECTION,N
073,BOARD OF CORRECTIONS,Y
094,DEPARTMENT OF EMPLOYMENT,N
101,PUBLIC ADVOCATE,Y
102,CITY COUNCIL,Y
103,CITY CLERK,Y
125,DEPARTMENT FOR THE AGING,N
126,DEPARTMENT OF CULTURAL AFFAIRS,N
127,FINANCIAL INFORMATION SERVICES AGENCY,N
130,DEPARTMENT OF JUVENILE JUSTICE,N
131,OFFICE OF PAYROLL ADMINISTRATION,N
132,INDEPENDENT BUDGET OFFICE,Y
133,EQUAL EMPLOYMENT PRACTICES COMMISSION,N
134,CIVIL SERVICE COMMISSION,N
135,COMMISSION ON PUBLIC INFORMATION AND COMMUNICATION,N
136,LANDMARKS PRESERVATION COMMISSION,N













137,DEPARTMENT OF TELECOMMUNICATIONS AND ENERGY,N
138,DISTRICTING COMMISSION,Y
156,TAXI AND LIMOUSINE COMMISSION,N
185,MUNICIPAL WATER FINANCE AUTHORITY,Y
214,OFFICE OF LABOR RELATIONS,N
220,COMMUNITY ASSISTANCE UNIT,N
226,COMMISSION ON HUMAN RIGHTS,N
240,BOARD OF EDUCATION RETIREMENT SYSTEM,Y
250,HUMAN RESOURCES ADMINISTRATION,N
256,NYC POLICE PENSION FUND,Y
260,DEPARTMENT OF YOUTH SERVICES,N
261,DEPARTMENT OF YOUTH AND COMMUNITY DEVELOPMENT,N
300,BOARD OF ELECTION POLL WORKERS,Y
312,CONFLICTS OF INTEREST BOARD,N
313,OFFICE OF COLLECTIVE BARGAINING,Y
333,STATE OF NEW YORK DEPARTMENT OF CIVIL SERVICE,Y
341,COMMUNITY BOARD NO.1-MANHATTAN,Y
342,COMMUNITY BOARD NO.2-MANHATTAN,Y
343,COMMUNITY BOARD NO.3-MANHATTAN,Y
344,COMMUNITY BOARD NO.4-MANHATTAN,Y
345,COMMUNITY BOARD NO.5-MANHATTAN,Y
346,COMMUNITY BOARD NO.6-MANHATTAN,Y
347,COMMUNITY BOARD NO.7-MANHATTAN,Y
348,COMMUNITY BOARD NO.8-MANHATTAN,Y
349,COMMUNITY BOARD N0.9-MANHATTAN,Y
350,COMMUNITY BOARD NO.10-MANHATTAN,Y
351,COMMUNITY BOARD NO.11-MANHATTAN,Y
352,COMMUNITY BOARD NO.12-MANHATTAN,Y
381,COMMUNITY BOARD NO.1 BRONX,Y
382,COMMUNITY BOARD NO.2-BRONX,Y
383,COMMUNITY BOARD NO.3-BRONX,Y
384,COMMUNITY BOARD NO.4 BRONX,Y
385,COMMUNITY BOARD NO.5-BRONX,Y
