County,Male,Female,Total
ALBANY,103989,107643,211632
ALLEGANY,16339,16245,32584
BROOME,67743,70054,137797
CATTARAUGUS,27550,27894,55444
CAYUGA,26028,26582,52610
CHAUTAUQUA,45279,46457,91736
CHEMUNG,29343,31379,60722
CHENANGO,18576,18434,37010
CLINTON,28429,29179,57608
COLUMBIA,24110,23843,47953
CORTLAND,15662,16169,31831
DELAWARE,17213,16425,33638
DUTCHESS,105240,108922,214162
ERIE,320845,337476,658321
ESSEX,13601,13660,27261
FRANKLIN,16898,17025,33923
FULTON,19350,19520,38870
GENESEE,21612,22203,43815
GREENE,18952,18636,37588
HAMILTON,2260,2180,4440
HERKIMER,22473,22628,45101
JEFFERSON,36600,37400,74000
LEWIS,9232,9098,18330
LIVINGSTON,21865,22768,44633
MADISON,24166,24965,49131
MONROE,249920,269103,519023
MONTGOMERY,18126,18595,36721
NASSAU,506652,515853,1022505
NIAGARA,77994,81298,159292
ONEIDA,78643,80965,159608
ONONDAGA,158171,167440,325611
ONTARIO,40292,42583,82875
ORANGE,128510,127639,256149
ORLEANS,14373,14679,29052
OSWEGO,42458,42352,84810
OTSEGO,21376,21980,43356
PUTNAM,40111,39833,79944
RENSSELAER,56498,58010,114508
ROCKLAND,107645,104571,212216ST
LAWRENCE,36279,36966,73245
SARATOGA,87076,90711,177787
SCHENECTADY,53935,55750,109685
SCHOHARIE,10800,10410,21210
SCHUYLER,7220,7209,14429
SENECA,11760,12207,23967
STEUBEN,35396,35773,71169
SUFFOLK,553668,564736,1118404
SULLIVAN,28560,26844,55404
TIOGA,19246,19613,38859
TOMPKINS,30826,32310,63136
ULSTER,67684,68551,136235
WARREN,25622,26690,52312
WASHINGTON,21466,21747,43213
WAYNE,34483,35363,69846
WESTCHESTER,327814,335904,663718
WYOMING,14758,14799,29557
YATES,8158,8330,16488
BRONX,259845,197002,456847
KINGS,555917,427852,983769NEW
YORK,399606,348977,748583
QUEENS,631912,502152,1134064
RICHMOND,156339,147911,304250
